,id,subclass,site,page_url,title,issue_time,creation_time,end_time,province_name,city_name,purchase_type,business_type,minor_business_type,status
0,3750502,结果公示,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?cjgg&qczbcg_szcg_26e788f1-4a79-4935-ae76-2d91e3d2cea4.html,1、2、5、7、9、11号线部分车型架大修物资采购项目第79包,2021-04-27 00:00:00,2021-04-29 16:50:11,2021-04-29 16:50:11,,,,货物,,0
1,3750503,结果公示,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?cjgg&qczbcg_szcg_f23a6278-ee5a-42b4-a402-5e623654dc81.html,1、2、5、7、9、11号线部分车型架大修物资采购项目第81包,2021-04-27 00:00:00,2021-04-29 16:50:15,2021-04-29 16:50:15,,,,货物,,0
2,3750504,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=fc20cd52-1b95-4f0f-3d41-08d90aaddccc,广东有线广播电视网络有限公司2021-2022年分前端机房空调维保服务采购项目公开招标公告,2021-04-29 16:05:48,2021-04-29 16:50:17,2021-04-29 16:50:17,,,公开招标,,,0
3,3750505,结果公示,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?cjgg&qczbcg_szcg_65ea17f4-e784-4012-866c-cd4e863e5109.html,1、2、5、7、9、11号线部分车型架大修物资采购项目第46包,2021-04-27 00:00:00,2021-04-29 16:50:19,2021-04-29 16:50:19,,,,货物,,0
4,3750506,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287599.jhtml,基于智能量测体系的密码应用与嵌入式模块研发项目[0002200000077372]流标公告,2021-04-28 00:00:00,2021-04-29 16:50:21,2021-04-29 16:50:21,贵州电网公司,,,货物,,0
5,3750507,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=ba225110-b978-41ed-3d3e-08d90aaddccc,广州银行广州新塘金泽支行装修工程采购项目招标公告,2021-04-29 15:07:30,2021-04-29 16:50:21,2021-04-29 16:50:21,广东省,广州市,公开招标,,,0
6,3750508,结果公示,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?cjgg&qczbcg_szcg_aca10ce1-916a-401f-a2a6-136dcf9f81ca.html,1、2、5、7、9、11号线部分车型架大修物资采购项目第48包,2021-04-27 00:00:00,2021-04-29 16:50:23,2021-04-29 16:50:23,,,,货物,,0
7,3750509,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287608.jhtml,南方电网调峰调频发电有限公司适用于大直径引水隧洞检测的多维检测装置集成结果公告,2021-04-28 00:00:00,2021-04-29 16:50:24,2021-04-29 16:50:24,贵州电网公司,,,货物,,0
8,3750510,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=c01badf1-697f-49b0-3d3f-08d90aaddccc,保税区2021年度园林绿化管养和道路保洁综合管理项目竞争性磋商公告,2021-04-29 15:14:53,2021-04-29 16:50:25,2021-04-29 16:50:25,广东省,汕头市,竞争性磋商,,,0
9,3750511,结果公示,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?cjgg&qczbcg_szcg_51157776-a8c4-4f1e-b3bb-6cbef78b54e5.html,1、2、5、7、9、11号线部分车型架大修物资采购项目第75A包,2021-04-27 00:00:00,2021-04-29 16:50:27,2021-04-29 16:50:27,,,,货物,,0
10,3750512,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287593.jhtml,财务管理系统服务器运维服务项目结果公告,2021-04-28 00:00:00,2021-04-29 16:50:28,2021-04-29 16:50:28,贵州电网公司,,,货物,,0
11,3750513,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40373,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:28,2021-04-29 16:50:28,,,,,其他,0
