,car,cc,name,size
0,STARS-104,magnet:?xt=urn:btih:EDC6C5AF5B4451564EFA764B758A05F46E85573D,0,4
1,STARS-133,magnet:?xt=urn:btih:D9001391F79CCC777D14B4AF7675453C98A9778D,1,4
2,STARS-080,magnet:?xt=urn:btih:405F078F141120FC8E7DBE5CDF2AD338593835C5,2,4
3,FSDSS-070,magnet:?xt=urn:btih:B23FC7AEF1A7021F44C6E540D05848D4EE8EECD0,11,4
4,STARS-043,magnet:?xt=urn:btih:81F8805FA9AD23723C537064DE98E57DAECC93F7,12,4
5,MXGS-916,magnet:?xt=urn:btih:E3A6792512220F18CF2DACD6B84CB1179CCB6CDB,14,4
6,STARS-053,magnet:?xt=urn:btih:864BE215CFD51810E5E160F51914C1E34104BB90,15,4
7,STARS-199,magnet:?xt=urn:btih:2574811D543FE0BAFE9BA747D9AE52CC282DCA74,17,4
8,MSFH-010,magnet:?xt=urn:btih:5442D1B1E98DE33A11A90CC1C28564E39AEECB33,19,4
9,STARS-258,magnet:?xt=urn:btih:BB05FECC37A99A2A60F35E145F61D1F7B31C3AB4,20,4
10,STARS-207,magnet:?xt=urn:btih:2A93FC14EC75F07EF0E52633679AEEE854F684E1,22,4
11,STARS-178,magnet:?xt=urn:btih:1D032FBC8223AFF7720FB44721B2074C0DC9FCE5,23,4
12,KMHRS-003,magnet:?xt=urn:btih:623D0C2E3D9E63AFCFB0ECBA70D8AA4FF325877C,24,4
13,MXGS-803,magnet:?xt=urn:btih:3AEEAB4DE87FC415F5BA7D02DF32C76C60958E76,25,4
14,MSFH-018,magnet:?xt=urn:btih:E527C18F1492357815EDA88E036FCC917C964624,28,4
15,STARS-168,magnet:?xt=urn:btih:8693696D48A97B818B52DB854ED42C261736ECD4,32,4
16,MXGS-694,magnet:?xt=urn:btih:BBA2FD2DE81FCF12D469ABD13F05314C02DCD803,35,4
17,STARS-209,magnet:?xt=urn:btih:FEDA2C151154A64D849C7CD94E2A28424B76A1CF,36,4
18,MXGS-697,magnet:?xt=urn:btih:8BFFB94333ABF10021A3764A50CBBC43B7A2C7A5,37,4
19,STAR-927,magnet:?xt=urn:btih:BF195A415134AB888F4D40139828BC93F933B993,38,4
20,SDDE-617,magnet:?xt=urn:btih:2B8AA309746AEC6B88AA5A46CB8AE7A27096324C,39,4
21,SDDE-623,magnet:?xt=urn:btih:5541754597ECDC408489E1886885CE55C3CC249D,41,4
22,STAR-931,magnet:?xt=urn:btih:97098DC4822B0D6B5D8393AC0EB7BC86F39FC354,42,4
23,STARS-081,magnet:?xt=urn:btih:1297F25088F85894D585B711310EFDCEEA1296C1,43,4
24,STARS-086,magnet:?xt=urn:btih:58C79440E1BA881EF853656F4024386E5D040337,44,4
25,STARS-172,magnet:?xt=urn:btih:B639E4FD20416764A42A1C0CB9D4C949A4B013EB,45,4
26,MXGS-709,magnet:?xt=urn:btih:C5968C855AFD3B5A05463809A377A7D3372345D9,48,4
27,MXGS-859,magnet:?xt=urn:btih:72627246D652B4389DF54066E3C33D40BD75B88F,49,4
28,MXGS-868,magnet:?xt=urn:btih:0DFD77762A871E15E16BCAF026681698DF6A9B14,50,4
29,MXGS-791,magnet:?xt=urn:btih:9C932AEC8BB47B3EF894F5AF2BCA69BCB950D16F,52,4
30,STARS-016,magnet:?xt=urn:btih:206CAE3A8ABFEA6B6684B4FC1A61E27953E789C0,54,4
31,STARS-042,magnet:?xt=urn:btih:43BE18400F41F8024CFCA8D01FA38212021B8F12,55,4
32,STARS-126,magnet:?xt=urn:btih:EEC46011E134E36DC689821AC94CFF1C5271B8EA,56,4
33,STARS-210,magnet:?xt=urn:btih:AD7DBC3CF8875356C162C793F6144EE4FBDB2EC8,57,4
34,ABP-977,magnet:?xt=urn:btih:EC2386F0EF8CCE89215927695E076D3D9D9FF0C0,59,4
