,name,perspective,count
0,密苑（张家口）旅游胜地有限公司密苑太子酒店分公司,29,426
1,廊坊国际饭店有限公司,29,368
2,张家口国际大酒店,29,232
3,林海商务酒店,29,215
4,安审廊坊国际饭店有限公司,29,192
5,安审张家口四海暇旅商务酒店有限公司,29,163
6,蓝鲸大厦,29,112
7,衡水锦尚宾馆有限公司,29,105
8,天元名品,29,102
9,新天地酒店,29,101
10,海友连锁酒店,29,98
11,格林豪泰酒店学院路店,29,97
12,金盛万豪,29,97
13,张家口泰合酒店管理有限责任公司,29,93
14,红旗楼驿家365宾馆,29,91
15,怀来矿建物业服务有限公司,29,84
16,安审张家口市桥东区鱼儿山健足会馆,29,78
17,正通快捷宾馆,29,75
18,博奥酒店,29,71
19,怀来悦庭酒店管理有限公司,29,67
20,健二足足疗馆,29,66
21,百斯特商务公寓酒店,29,65
22,怀来皓轩酒店有限公司,29,64
23,安审张家口百尚酒店有限公司,29,58
24,唐山足球酒店,29,56
25,安审张家口市好时尚快捷宾馆,29,55
26,保定仁润脑血管病医院,29,55
27,安审怀安县缘梦圆宾馆有限公司,29,52
28,佳亿商务酒店,29,52
29,故城驿家365,29,51
30,安审中元路泰建设工程有限公司,29,50
31,奥凯假日酒店,29,50
32,安审经济开发区沙滩红楼饭店,29,48
33,怀来县聚缘快捷酒店,29,47
34,安审明湖冰雪主题酒店,29,46
35,安审张家口市冠榕商务酒店有限责任公司,29,44
36,汉庭承德避暑山庄酒店,29,44
37,全季张家口火车站酒店,29,40
38,安审经济开发区海纳商务宾馆,29,39
39,顺和宾馆,29,37
40,安审张家口奈斯酒店管理有限公司,29,34
41,同泰宾馆,29,34
42,绅度国际养生会所,29,32
43,安审宣化区龙驿宾馆,29,31
44,张家口铁路园丰园商贸公司,29,31
45,安审怀安县柴沟堡镇文明宾馆,29,29
46,武安市青少年宫,29,29
47,金科花卉宾馆,29,26
48,胜光酒店,29,26
49,博然商务宾馆,29,25
50,康保县康远假日快捷酒店,29,24
51,唐山宴文旅酒店,29,24
52,强健足浴阁,29,23
53,橙子快捷宾馆,29,22
54,嘉宁商务主题宾馆,29,22
55,尚客思宾馆,29,19
56,馨悦快捷宾馆,29,19
57,安康医院,29,17
58,安审经济开发区荷塘月色宾馆,29,17
59,河北大夏天,29,16
60,安审张家口市桥东区中徽旅馆,29,14
61,五洲皇冠酒店,29,14
62,京汉雅阁酒店,29,13
63,竹雅快捷酒店,29,13
64,保定华仁皮肤病医院,29,11
65,海小姐3,29,8
66,开滦宾馆,29,8
67,安审张家口好望角酒店管理有限公司经开区二部,29,7
68,华誉酒店,29,7
69,河北电信省公司,29,4
70,美的1738宿舍,29,4
71,青园南展厅,29,4
72,唐山南湖足球酒店有限公司,29,4
73,百悦酒店管理固安有限公司,29,3
74,电信公司5楼515,29,3
75,丰南小赵开锁,29,3
76,荣园文化主题商务酒店,29,3
77,丰润宾馆,29,2
78,剑南快捷宾馆,29,2
79,京顺宾馆,29,2
